Date,SMA1,SMA2,SMA3,SMA4,SMA5,SMA6,SMA7,SMA8,SMA9,SMA10,SMA11,SMA12,SMA13,SMA14,SMA15,SMA16,SMA17,SMA18,SMA19,SMA20
6/1/2021,159.5000000000,152.2500000000,153.0000000000,149.8750000000,145.5000000000,140.6666666667,138.4285714286,135.3750000000,131.8888888889,128.1599998000,124.3272725455,120.4833329167,117.4923071538,114.8214279286,113.0933328667,112.1937493750,111.5647052941,110.4944440556,109.4105260526,108.5649997500
6/2/2021,160.0000000000,159.7500000000,154.8333333333,154.7500000000,151.9000000000,147.9166666667,143.4285714286,141.1250000000,138.1111111111,134.7000000000,131.0545452727,127.2999998333,123.5230765385,120.5285709286,117.8333327333,116.0249995625,115.0058817647,114.2555550000,113.0999996316,111.9399997500
6/3/2021,161.0000000000,160.5000000000,160.1666666667,156.3750000000,156.0000000000,153.4166666667,149.7857142857,145.6250000000,143.3333333333,140.4000000000,137.0909090909,133.5499998333,129.8923075385,126.1999996429,123.2266662000,120.5312494375,118.6705878235,117.5611105556,116.7157889474,115.4949996500
6/4/2021,155.5000000000,158.2500000000,158.8333333333,159.0000000000,156.2000000000,155.9166666667,153.7142857143,150.5000000000,146.7222222222,144.5500000000,141.7727272727,138.6250000000,135.2384613846,131.7214284286,128.1533330000,125.2437495625,122.5882347647,120.7166662778,119.5578942105,118.6549995000
6/7/2021,153.0000000000,154.2500000000,156.5000000000,157.3750000000,157.8000000000,155.6666666667,155.5000000000,153.6250000000,150.7777777778,147.3500000000,145.3181818182,142.7083333333,139.7307692308,136.5071427143,133.1399998667,129.7062496875,126.8764701765,124.2777772778,122.4157891053,121.2299995000
6/8/2021,165.0000000000,159.0000000000,157.8333333333,158.6250000000,158.9000000000,159.0000000000,157.0000000000,156.6875000000,154.8888888889,152.2000000000,148.9545454545,146.9583333333,144.4230769231,141.5357142857,138.4066665333,135.1312498750,131.7823526471,128.9944440556,126.4210521579,124.5449996500
6/9/2021,160.0000000000,162.5000000000,159.3333333333,158.3750000000,158.9000000000,159.0833333333,159.1428571429,157.3750000000,157.0555555556,155.4000000000,152.9090909091,149.8750000000,147.9615384615,145.5357142857,142.7666666667,139.7562498750,136.5941175294,133.3499997222,130.6263154211,128.0999995500
6/10/2021,159.0000000000,159.5000000000,161.3333333333,159.2500000000,158.5000000000,158.9166666667,159.0714285714,159.1250000000,157.5555555556,157.2500000000,155.7272727273,153.4166666667,150.5769230769,148.7500000000,146.4333333333,143.7812500000,140.8882351765,137.8388887778,134.6999997368,132.0449996500
6/11/2021,174.5000000000,166.7500000000,164.5000000000,164.6250000000,162.3000000000,161.1666666667,161.1428571429,161.0000000000,160.8333333333,159.2500000000,158.8181818182,157.2916666667,155.0384615385,152.2857142857,150.4666666667,148.1875000000,145.5882352941,142.7555554444,139.7684209474,136.6899997500
6/15/2021,191.5000000000,183.0000000000,175.0000000000,171.2500000000,170.0000000000,167.1666666667,165.5000000000,164.9375000000,164.3888888889,163.9000000000,162.1818181818,161.5416666667,159.9230769231,157.6428571429,154.9000000000,153.0312500000,150.7352941176,148.1388888889,145.3210525263,142.3549999000
6/16/2021,205.5000000000,198.5000000000,190.5000000000,182.6250000000,178.1000000000,175.9166666667,172.6428571429,170.5000000000,169.4444444444,168.5000000000,167.6818181818,165.7916666667,164.9230769231,163.1785714286,160.8333333333,158.0625000000,156.1176470588,153.7777777778,151.1578947368,148.3299999000
6/17/2021,206.0000000000,205.7500000000,201.0000000000,194.3750000000,187.3000000000,182.7500000000,180.2142857143,176.8125000000,174.4444444444,173.1000000000,171.9090909091,170.8750000000,168.8846153846,167.8571428571,166.0333333333,163.6562500000,160.8823529412,158.8888888889,156.5263157895,153.9000000000
6/18/2021,226.5000000000,216.2500000000,212.6666666667,207.3750000000,200.8000000000,193.8333333333,189.0000000000,186.0000000000,182.3333333333,179.6500000000,177.9545454545,176.4583333333,175.1538461538,173.0000000000,171.7666666667,169.8125000000,167.3529411765,164.5277777778,162.4473684211,160.0250000000
6/21/2021,249.0000000000,237.7500000000,227.1666666667,221.7500000000,215.7000000000,208.8333333333,201.7142857143,196.5000000000,193.0000000000,189.0000000000,185.9545454545,183.8750000000,182.0384615385,180.4285714286,178.0666666667,176.5937500000,174.4705882353,171.8888888889,168.9736842105,166.7750000000
6/22/2021,251.0000000000,250.0000000000,242.1666666667,233.1250000000,227.6000000000,221.5833333333,214.8571428571,207.8750000000,202.5555555556,198.8000000000,194.6363636364,191.3750000000,189.0384615385,186.9642857143,185.1333333333,182.6250000000,180.9705882353,178.7222222222,176.0526315789,173.0750000000
6/23/2021,226.0000000000,238.5000000000,242.0000000000,238.1250000000,231.7000000000,227.3333333333,222.2142857143,216.2500000000,209.8888888889,204.9000000000,201.2727272727,197.2500000000,194.0384615385,191.6785714286,189.5666666667,187.6875000000,185.1764705882,183.4722222222,181.2105263158,178.5500000000
6/24/2021,248.5000000000,237.2500000000,241.8333333333,243.6250000000,240.2000000000,234.5000000000,230.3571428571,225.5000000000,219.8333333333,213.7500000000,208.8636363636,205.2083333333,201.1923076923,197.9285714286,195.4666666667,193.2500000000,191.2647058824,188.6944444444,186.8947368421,184.5750000000
6/25/2021,273.0000000000,260.7500000000,249.1666666667,249.6250000000,249.5000000000,245.6666666667,240.0000000000,235.6875000000,230.7777777778,225.1500000000,219.1363636364,214.2083333333,210.4230769231,206.3214285714,202.9333333333,200.3125000000,197.9411764706,195.8055555556,193.1315789474,191.2000000000
6/28/2021,300.0000000000,286.5000000000,273.8333333333,261.8750000000,259.7000000000,257.9166666667,253.4285714286,247.5000000000,242.8333333333,237.7000000000,231.9545454545,225.8750000000,220.8076923077,216.8214285714,212.5666666667,209.0000000000,206.1764705882,203.6111111111,201.2894736842,198.4750000000
6/29/2021,292.0000000000,296.0000000000,288.3333333333,278.3750000000,267.9000000000,265.0833333333,262.7857142857,258.2500000000,252.4444444444,247.7500000000,242.6363636364,236.9583333333,230.9615384615,225.8928571429,221.8333333333,217.5312500000,213.8823529412,210.9444444444,208.2631578947,205.8250000000
6/30/2021,321.0000000000,306.5000000000,304.3333333333,296.5000000000,286.9000000000,276.7500000000,273.0714285714,270.0625000000,265.2222222222,259.3000000000,254.4090909091,249.1666666667,243.4230769231,237.3928571429,232.2333333333,228.0312500000,223.6176470588,219.8333333333,216.7368421053,213.9000000000
