Date,Price
5/3/2021,86.599998
5/4/2021,78
5/5/2021,79.900002
5/6/2021,81.099998
5/7/2021,85
5/10/2021,93.5
5/11/2021,95.599998
5/12/2021,86.099998
5/13/2021,77.5
5/14/2021,70.099998
5/17/2021,63.099998
5/18/2021,69.400002
5/19/2021,76.300003
5/20/2021,77
5/21/2021,84.699997
5/24/2021,86.400002
5/25/2021,82.400002
5/26/2021,85.599998
5/27/2021,87.699997
5/28/2021,96.400002
5/31/2021,98.599998
6/1/2021,108
6/2/2021,110.5
6/3/2021,119
6/4/2021,116.5
6/7/2021,110.5
6/8/2021,115.5
6/9/2021,116
6/10/2021,113.5
6/11/2021,124
6/15/2021,136
6/16/2021,133.5
6/17/2021,136.5
6/18/2021,140
6/21/2021,152
6/22/2021,153.5
6/23/2021,138.5
6/24/2021,152
6/25/2021,160
6/28/2021,176
6/29/2021,179.5
6/30/2021,197
